Abbreviations,Descriptions
PPG,Points Per Game
APG,Assists Per Game
RPG,Rebounds Per Game
DRPG,Defensive Rebounds Per Game
ORPG,Offensive Rebounds Per Game
SPG,Steals Per Game
BPG,Blocks Per Game
PFPG,Personal Fouls Per Game
TPG,Turnovers Per Game
TSP,True Shooting Percentage
FGMPG,Field Goals Made Per Game
FGP,Field Goals Percentage
2PMPG,Two Pointers Made Per Game
2PP,Two Pointers Percentage
3PMPG,Three Pointers Made Per Game
3PP,Three Pointers Percentage
FTMPG,Free Throws Made Per Game
FTP,Free Throws Percentage
